Hotel Name,City,Budget for 1 day and night (INR),Google Maps Rating
Hotel Spice,Delhi,6525,4.9
Plaza Delight,Delhi,1934,3.3
Hotel Oasis,Delhi,4052,3.1
Palace Delight,Delhi,3462,5.0
Garden Terrace,Delhi,1685,4.5
Lounge Oasis,Delhi,3080,3.8
Plaza Heaven,Delhi,3404,3.2
Cafe Terrace,Delhi,5156,2.6
Inn Terrace,Mumbai,2509,3.3
Hotel Oasis,Mumbai,1528,3.0
Bistro Oasis,Mumbai,2399,3.3
Inn Terrace,Mumbai,3149,4.4
Palace Retreat,Mumbai,2296,4.8
Inn Heaven,Mumbai,5165,2.9
Garden Grill,Mumbai,1766,3.3
Bistro Heaven,Mumbai,4240,4.4
Lounge Oasis,Mumbai,1374,4.7
Resort Spice,Mumbai,5594,4.1
Bistro Paradise,Chennai,5893,3.8
Royal Oasis,Chennai,1865,3.9
Royal Grill,Chennai,6311,2.7
Plaza Terrace,Chennai,2277,4.3
The Corner,Chennai,6527,3.2
The Delight,Chennai,5419,4.7
Resort Spice,Chennai,5988,4.6
Palace Delight,Kolkata,3654,4.8
Cafe Retreat,Kolkata,1624,4.2
Resort Oasis,Kolkata,1230,2.5
Resort Delight,Kolkata,934,4.0
Cafe Oasis,Kolkata,3601,4.6
Garden Corner,Kolkata,6817,3.0
The Hub,Kolkata,2430,4.7
Garden Delight,Bengaluru,1542,3.4
The Corner,Bengaluru,6469,4.7
Bistro Paradise,Bengaluru,4218,3.1
Bistro Paradise,Bengaluru,1219,4.2
The Retreat,Bengaluru,3822,4.1
Resort Hub,Bengaluru,2117,3.0
Bistro Spice,Bengaluru,2611,4.4
Bistro Oasis,Bengaluru,6986,3.9
Resort Oasis,Hyderabad,6298,2.8
Bistro Delight,Hyderabad,801,4.9
Inn Heaven,Hyderabad,3142,2.8
Bistro Grill,Hyderabad,2483,3.9
Hotel Corner,Hyderabad,2666,3.1
Plaza Delight,Hyderabad,5145,3.8
The Hub,Hyderabad,6514,4.9
Plaza Terrace,Hyderabad,4792,4.8
Garden Paradise,Hyderabad,3145,3.6
Inn Delight,Hyderabad,4236,4.2
Lounge Spice,Pune,3095,4.9
Lounge Terrace,Pune,3295,2.6
Bistro Paradise,Pune,2257,2.8
Cafe Oasis,Pune,3602,4.0
Cafe Delight,Pune,1430,3.3
Cafe Paradise,Pune,3759,4.9
Bistro Corner,Pune,2848,3.1
Garden Terrace,Pune,950,3.3
Resort Retreat,Pune,1254,2.8
Resort Corner,Pune,1161,3.5
Lounge Heaven,Ahmedabad,3874,2.9
Hotel Grill,Ahmedabad,3324,2.6
Lounge Spice,Ahmedabad,2962,3.0
Lounge Paradise,Ahmedabad,4349,4.4
Plaza Corner,Ahmedabad,869,2.7
Garden Corner,Ahmedabad,1243,3.5
Lounge Terrace,Ahmedabad,6629,4.5
Plaza Retreat,Ahmedabad,1249,4.5
Lounge Terrace,Jaipur,4440,4.6
Bistro Delight,Jaipur,6805,4.3
Resort Terrace,Jaipur,1753,4.7
The Terrace,Jaipur,5264,2.8
Hotel Corner,Jaipur,2408,4.2
Cafe Corner,Jaipur,2572,3.7
The Delight,Jaipur,983,3.6
Garden Grill,Lucknow,6215,3.3
Plaza Grill,Lucknow,2206,3.2
Inn Corner,Lucknow,6587,2.8
Inn Grill,Lucknow,3833,3.0
Cafe Terrace,Lucknow,3905,4.1
Lounge Terrace,Lucknow,2875,3.6
Resort Retreat,Delhi,980,4.4
The Terrace,Delhi,6369,4.8
The Spice,Delhi,6446,3.1
Hotel Spice,Delhi,1725,4.1
Palace Paradise,Delhi,5014,4.6
Garden Heaven,Delhi,1341,4.4
Bistro Spice,Delhi,1724,3.5
The Terrace,Delhi,2274,4.6
Resort Corner,Delhi,840,3.4
Palace Corner,Delhi,4815,3.9
Palace Heaven,Mumbai,1453,3.1
Plaza Grill,Mumbai,4456,3.2
Plaza Delight,Mumbai,3963,3.7
Hotel Heaven,Mumbai,3983,4.3
Royal Retreat,Mumbai,5727,3.5
Bistro Heaven,Mumbai,4222,2.5
Garden Hub,Mumbai,4727,3.6
Lounge Delight,Mumbai,2020,3.5
The Oasis,Mumbai,3887,2.9
The Heaven,Mumbai,6286,3.3
Garden Terrace,Chennai,3418,4.2
Lounge Spice,Chennai,6544,2.7
Resort Corner,Chennai,1459,3.1
Garden Terrace,Chennai,1401,4.2
Bistro Delight,Chennai,1613,4.1
Bistro Paradise,Chennai,2021,3.5
Inn Paradise,Chennai,834,2.9
Cafe Corner,Kolkata,2116,4.0
Royal Delight,Kolkata,3637,3.7
Lounge Grill,Kolkata,6938,3.2
Palace Corner,Kolkata,4587,3.7
Hotel Paradise,Kolkata,1879,3.1
Plaza Heaven,Kolkata,6808,3.9
Garden Delight,Kolkata,1888,3.0
Garden Delight,Bengaluru,5298,4.8
Resort Delight,Bengaluru,1073,3.0
Bistro Heaven,Bengaluru,5935,4.1
Bistro Oasis,Bengaluru,1227,5.0
Inn Corner,Bengaluru,2792,3.6
Bistro Terrace,Bengaluru,2558,2.9
Inn Terrace,Bengaluru,1191,4.4
Bistro Paradise,Bengaluru,1272,3.2
Hotel Delight,Hyderabad,1790,3.7
Hotel Retreat,Hyderabad,6713,4.0
Palace Heaven,Hyderabad,4121,4.9
Lounge Grill,Hyderabad,4238,3.3
Garden Oasis,Hyderabad,4710,4.6
Plaza Oasis,Hyderabad,4114,3.4
Hotel Grill,Hyderabad,5600,4.3
Inn Retreat,Hyderabad,4924,3.4
Royal Delight,Hyderabad,3002,4.2
Lounge Retreat,Hyderabad,5407,2.6
Garden Terrace,Pune,2749,4.3
Bistro Retreat,Pune,2436,3.9
Cafe Hub,Pune,1053,4.3
The Corner,Pune,2907,4.1
Royal Hub,Pune,4789,3.5
Royal Delight,Pune,3062,4.1
Resort Terrace,Pune,1298,3.8
Royal Spice,Pune,5531,4.4
Plaza Delight,Pune,6885,4.2
Hotel Paradise,Pune,5385,3.8
Lounge Grill,Ahmedabad,6372,2.9
Hotel Delight,Ahmedabad,4508,4.8
Lounge Delight,Ahmedabad,4345,3.8
Cafe Paradise,Ahmedabad,6329,3.9
Hotel Terrace,Ahmedabad,6891,4.1
Plaza Terrace,Ahmedabad,6267,2.8
Bistro Grill,Ahmedabad,4015,2.6
Lounge Oasis,Ahmedabad,4042,2.7
Plaza Delight,Jaipur,1410,4.6
Royal Heaven,Jaipur,4556,2.5
Hotel Oasis,Jaipur,1868,3.0
Cafe Spice,Jaipur,6679,3.4
Cafe Retreat,Jaipur,1065,3.5
The Hub,Jaipur,5841,4.0
The Heaven,Jaipur,2803,4.5
Cafe Delight,Lucknow,2371,3.0
Garden Heaven,Lucknow,4222,4.4
Inn Delight,Lucknow,5224,4.9
Hotel Hub,Lucknow,942,4.3
Lounge Delight,Lucknow,3953,3.8
The Delight,Lucknow,1396,4.5
Hotel Retreat,Delhi,3048,4.0
Resort Retreat,Delhi,1402,3.4
Plaza Grill,Delhi,5794,3.0
Lounge Spice,Delhi,4170,2.9
Plaza Paradise,Delhi,6416,5.0
Lounge Heaven,Delhi,2914,2.7
Royal Oasis,Delhi,3733,2.7
Lounge Paradise,Delhi,6370,4.1
Resort Spice,Delhi,1650,4.2
Plaza Corner,Delhi,6022,2.6
Palace Oasis,Mumbai,1458,5.0
Plaza Hub,Mumbai,6174,2.6
The Terrace,Mumbai,3178,4.3
Cafe Hub,Mumbai,2750,2.5
Palace Oasis,Mumbai,1269,4.1
Lounge Retreat,Mumbai,4609,3.4
Bistro Hub,Mumbai,6079,3.6
Lounge Spice,Mumbai,1559,2.9
Inn Heaven,Mumbai,3578,5.0
Plaza Heaven,Mumbai,5726,4.9
The Oasis,Chennai,5027,3.6
Plaza Terrace,Chennai,3591,4.4
Royal Oasis,Chennai,5680,4.3
The Hub,Chennai,857,4.2
Cafe Terrace,Chennai,4447,3.3
Plaza Corner,Chennai,3571,2.9
Bistro Corner,Chennai,2731,4.4
Bistro Terrace,Kolkata,3240,3.4
Palace Delight,Kolkata,2833,3.2
Palace Terrace,Kolkata,6107,3.0
The Terrace,Kolkata,1240,2.7
Garden Grill,Kolkata,2243,4.5
Cafe Terrace,Kolkata,4168,4.3
Hotel Heaven,Kolkata,3823,4.4
Inn Paradise,Bengaluru,5028,4.3
Cafe Grill,Bengaluru,3375,2.8
The Heaven,Bengaluru,2981,4.9
Plaza Delight,Bengaluru,6107,3.2
The Retreat,Bengaluru,2772,4.2
Inn Paradise,Bengaluru,6625,2.5
Garden Hub,Bengaluru,5399,3.3
Resort Spice,Bengaluru,5569,3.4
Bistro Hub,Hyderabad,1465,4.2
Inn Spice,Hyderabad,5966,4.4
Plaza Grill,Hyderabad,2008,3.3
Cafe Retreat,Hyderabad,2798,4.7
Bistro Spice,Hyderabad,898,5.0
Inn Heaven,Hyderabad,3329,3.0
The Oasis,Hyderabad,5505,4.4
Palace Grill,Hyderabad,1699,3.7
Palace Hub,Hyderabad,3335,4.2
Palace Corner,Hyderabad,5024,3.3
Bistro Spice,Pune,1853,3.9
Cafe Paradise,Pune,4509,4.6
The Heaven,Pune,6547,3.5
Royal Spice,Pune,3876,3.8
Bistro Spice,Pune,6836,3.6
Plaza Retreat,Pune,3439,3.7
Palace Delight,Pune,3522,3.3
Resort Heaven,Pune,6860,5.0
Lounge Grill,Pune,1586,4.0
Cafe Grill,Pune,1866,3.2
Bistro Hub,Ahmedabad,4142,4.2
Plaza Paradise,Ahmedabad,3015,3.3
Plaza Hub,Ahmedabad,5395,4.6
Resort Retreat,Ahmedabad,3815,4.1
The Heaven,Ahmedabad,6478,4.5
Lounge Heaven,Ahmedabad,2328,3.1
Hotel Paradise,Ahmedabad,4639,3.2
Bistro Oasis,Ahmedabad,2239,2.7
Plaza Delight,Jaipur,4426,3.2
Palace Heaven,Jaipur,5135,2.6
Resort Retreat,Jaipur,4786,2.6
Plaza Delight,Jaipur,3109,3.2
Bistro Oasis,Jaipur,3338,2.8
Resort Grill,Jaipur,2398,3.0
The Delight,Jaipur,1658,2.5
Inn Paradise,Lucknow,3625,4.0
Lounge Oasis,Lucknow,1062,4.5
Inn Spice,Lucknow,4485,4.6
Bistro Paradise,Lucknow,6097,3.9
Garden Terrace,Lucknow,3279,4.5
Bistro Delight,Lucknow,828,4.4
Palace Spice,Delhi,5480,4.5
Hotel Paradise,Delhi,6222,4.7
Cafe Oasis,Delhi,4478,4.0
Hotel Spice,Delhi,852,3.9
Garden Hub,Delhi,6462,2.6
Inn Oasis,Delhi,2415,4.4
Hotel Corner,Delhi,5817,3.4
Plaza Paradise,Delhi,4114,2.8
Garden Delight,Delhi,2368,4.4
Inn Hub,Delhi,2807,4.3
Plaza Grill,Mumbai,6933,3.0
The Delight,Mumbai,4934,2.8
Garden Spice,Mumbai,2279,3.8
Bistro Heaven,Mumbai,6609,4.8
The Delight,Mumbai,5192,2.7
Hotel Grill,Mumbai,6608,2.6
Inn Hub,Mumbai,1408,3.0
Inn Heaven,Mumbai,2310,3.5
The Delight,Mumbai,1533,4.4
Plaza Oasis,Mumbai,5389,3.6
Resort Corner,Chennai,4357,3.7
Hotel Paradise,Chennai,2846,3.5
The Grill,Chennai,4229,4.1
The Spice,Chennai,2053,4.5
Palace Corner,Chennai,4984,2.8
Lounge Heaven,Chennai,1604,4.8
Hotel Spice,Chennai,3712,2.6
Garden Terrace,Kolkata,6419,5.0
Resort Delight,Kolkata,4609,2.9
Plaza Paradise,Kolkata,1482,4.9
Bistro Hub,Kolkata,2616,2.9
Plaza Hub,Kolkata,4909,2.6
The Corner,Kolkata,1081,3.2
Lounge Retreat,Kolkata,1401,4.3
Royal Delight,Bengaluru,5767,5.0
Garden Terrace,Bengaluru,1566,4.9
Bistro Delight,Bengaluru,3186,4.2
Resort Grill,Bengaluru,4900,4.9
Garden Delight,Bengaluru,4854,3.7
Plaza Terrace,Bengaluru,6250,4.9
Lounge Retreat,Bengaluru,2661,3.6
Resort Terrace,Bengaluru,3034,4.0
Palace Grill,Hyderabad,6117,3.1
Lounge Grill,Hyderabad,6136,4.4
The Heaven,Hyderabad,2937,3.0
Lounge Retreat,Hyderabad,6213,4.1
Lounge Paradise,Hyderabad,2557,2.8
The Heaven,Hyderabad,869,2.5
Palace Corner,Hyderabad,1176,4.3
Cafe Retreat,Hyderabad,6203,2.8
Palace Spice,Hyderabad,4285,2.7
Palace Corner,Hyderabad,4963,4.4
Garden Corner,Pune,3661,3.3
Royal Retreat,Pune,4485,4.0
Bistro Delight,Pune,1326,2.5
Plaza Grill,Pune,6958,4.0
Lounge Retreat,Pune,3433,2.5
Royal Hub,Pune,1140,2.6
Bistro Heaven,Pune,6783,3.5
Cafe Corner,Pune,4819,4.6
Plaza Retreat,Pune,6715,2.9
Plaza Terrace,Pune,4575,4.0
Hotel Delight,Ahmedabad,1706,4.5
Bistro Retreat,Ahmedabad,5876,4.2
The Corner,Ahmedabad,5349,3.3
Royal Grill,Ahmedabad,1637,4.4
Inn Delight,Ahmedabad,6591,3.2
The Corner,Ahmedabad,5760,4.1
Resort Grill,Ahmedabad,2107,3.3
Palace Terrace,Ahmedabad,6537,2.6
Lounge Delight,Jaipur,1603,3.9
The Corner,Jaipur,2048,4.0
The Oasis,Jaipur,6996,4.4
Cafe Terrace,Jaipur,6449,4.3
Resort Spice,Jaipur,2642,3.2
Plaza Oasis,Jaipur,4884,4.1
Resort Hub,Jaipur,6694,4.7
The Delight,Lucknow,5402,2.8
Inn Hub,Lucknow,5494,4.8
Hotel Terrace,Lucknow,5305,4.4
Hotel Oasis,Lucknow,4008,3.7
Resort Spice,Lucknow,6356,4.3
Garden Heaven,Lucknow,4785,4.9
Resort Hub,Delhi,1791,3.8
Plaza Oasis,Delhi,1753,4.4
Garden Corner,Delhi,6090,3.6
The Grill,Delhi,1791,4.6
Plaza Hub,Delhi,2329,2.6
Palace Corner,Delhi,6118,3.4
Resort Heaven,Delhi,3651,3.2
Plaza Spice,Delhi,1024,4.1
Hotel Retreat,Delhi,5298,2.7
Cafe Corner,Delhi,3898,4.6
Cafe Terrace,Mumbai,5190,3.2
Resort Retreat,Mumbai,3712,4.0
Royal Paradise,Mumbai,4719,3.9
Plaza Terrace,Mumbai,1276,2.8
Plaza Spice,Mumbai,3479,4.8
The Spice,Mumbai,4688,4.1
Inn Oasis,Mumbai,3420,4.4
Lounge Corner,Mumbai,1379,2.7
The Corner,Mumbai,900,2.9
Resort Retreat,Mumbai,1916,3.7
The Retreat,Chennai,912,4.0
Lounge Retreat,Chennai,5678,3.9
Resort Oasis,Chennai,4914,2.6
The Corner,Chennai,5204,2.9
Lounge Hub,Chennai,3122,3.8
Palace Retreat,Chennai,4592,4.4
Lounge Spice,Chennai,4285,3.0
Plaza Retreat,Kolkata,2497,4.9
Palace Heaven,Kolkata,6073,3.0
Cafe Delight,Kolkata,6617,3.6
Inn Delight,Kolkata,1752,3.0
Plaza Paradise,Kolkata,1742,2.7
The Delight,Kolkata,1837,3.5
Cafe Grill,Kolkata,6021,4.6
Palace Spice,Bengaluru,6223,4.8
Bistro Delight,Bengaluru,4347,3.7
Plaza Hub,Bengaluru,6181,2.9
Inn Paradise,Bengaluru,6948,3.3
Lounge Hub,Bengaluru,6919,4.0
Palace Corner,Bengaluru,1977,4.8
Plaza Paradise,Bengaluru,5238,3.5
Royal Terrace,Bengaluru,6503,4.3
Plaza Oasis,Hyderabad,1619,4.8
Bistro Oasis,Hyderabad,3309,3.9
Bistro Corner,Hyderabad,6434,2.7
Bistro Delight,Hyderabad,1564,4.6
Bistro Retreat,Hyderabad,1873,4.8
Resort Hub,Hyderabad,2314,2.9
Garden Retreat,Hyderabad,6021,4.5
The Retreat,Hyderabad,6861,3.2
The Delight,Hyderabad,4100,4.7
The Retreat,Hyderabad,3771,3.3
Bistro Retreat,Pune,5413,2.9
Hotel Hub,Pune,1539,2.9
Cafe Corner,Pune,1373,2.7
The Corner,Pune,6545,2.7
Resort Corner,Pune,5489,3.8
Royal Heaven,Pune,6495,4.5
Cafe Corner,Pune,1606,4.6
Cafe Spice,Pune,6892,4.0
The Hub,Pune,1964,3.8
Royal Terrace,Pune,2393,3.3
Garden Oasis,Ahmedabad,4886,4.0
The Corner,Ahmedabad,1739,3.7
The Heaven,Ahmedabad,6542,3.5
Plaza Heaven,Ahmedabad,6198,4.4
Lounge Heaven,Ahmedabad,1619,4.6
Resort Heaven,Ahmedabad,6962,3.5
Palace Oasis,Ahmedabad,1830,3.4
Resort Retreat,Ahmedabad,5808,4.0
Hotel Oasis,Jaipur,5779,3.2
Bistro Delight,Jaipur,5666,3.8
Hotel Corner,Jaipur,3214,4.7
Inn Hub,Jaipur,4572,4.3
Bistro Retreat,Jaipur,2503,3.7
Resort Spice,Jaipur,3067,4.5
Resort Paradise,Jaipur,3954,4.6
Garden Corner,Lucknow,4743,3.6
Plaza Retreat,Lucknow,5982,3.0
Hotel Grill,Lucknow,6500,4.4
Cafe Terrace,Lucknow,3077,3.0
Cafe Paradise,Lucknow,6353,4.9
Resort Heaven,Lucknow,6235,2.7
Inn Spice,Delhi,6419,3.4
Lounge Corner,Delhi,2405,2.9
The Spice,Delhi,3888,4.6
The Terrace,Delhi,4022,4.0
Lounge Retreat,Delhi,6111,3.8
Inn Hub,Delhi,1182,4.3
The Hub,Delhi,4823,3.4
The Oasis,Delhi,3161,3.6
Plaza Heaven,Delhi,3712,4.6
Bistro Heaven,Delhi,5879,4.5
Plaza Corner,Mumbai,1583,4.0
The Spice,Mumbai,3451,4.9
Bistro Retreat,Mumbai,6730,3.2
Lounge Delight,Mumbai,1107,3.7
Bistro Hub,Mumbai,6065,3.8
Resort Retreat,Mumbai,4224,3.0
Royal Delight,Mumbai,4397,3.1
Resort Delight,Mumbai,857,3.5
Bistro Oasis,Mumbai,5384,3.2
Cafe Grill,Mumbai,3585,4.1
Garden Hub,Chennai,4915,4.9
Bistro Corner,Chennai,1438,4.8
Garden Paradise,Chennai,2745,4.6
Resort Hub,Chennai,1383,3.4
Plaza Corner,Chennai,6888,4.5
Inn Hub,Chennai,5888,4.1
Lounge Paradise,Chennai,5594,2.5
Hotel Retreat,Kolkata,2401,4.6
The Oasis,Kolkata,2370,3.3
Plaza Heaven,Kolkata,5828,3.9
Bistro Delight,Kolkata,6980,3.3
Cafe Grill,Kolkata,6902,4.1
The Retreat,Kolkata,5863,3.7
Palace Hub,Kolkata,4433,2.6
Resort Spice,Bengaluru,4551,3.7
Palace Paradise,Bengaluru,6349,4.7
Hotel Grill,Bengaluru,4345,2.7
Palace Paradise,Bengaluru,5577,5.0
Garden Paradise,Bengaluru,973,2.5
Garden Oasis,Bengaluru,4072,3.0
Royal Grill,Bengaluru,4527,4.2
Resort Terrace,Bengaluru,5411,4.7
Resort Terrace,Hyderabad,5377,4.7
Resort Terrace,Hyderabad,1981,3.1
Lounge Paradise,Hyderabad,6167,3.0
Garden Hub,Hyderabad,2272,4.1
Cafe Oasis,Hyderabad,6889,4.8
Bistro Terrace,Hyderabad,6207,4.3
Royal Hub,Hyderabad,5091,4.2
Bistro Terrace,Hyderabad,1293,4.6
Royal Corner,Hyderabad,6516,4.8
Lounge Oasis,Hyderabad,5066,4.5
Bistro Hub,Pune,1361,3.1
Bistro Retreat,Pune,3449,3.5
Resort Heaven,Pune,3519,5.0
Palace Delight,Pune,2279,4.5
Hotel Delight,Pune,3782,4.8
Bistro Heaven,Pune,917,4.8
Resort Grill,Pune,6625,2.6
Hotel Delight,Pune,6459,4.4
Resort Paradise,Pune,1900,3.4
Resort Terrace,Pune,4607,2.9
Royal Spice,Ahmedabad,1231,3.2
Royal Hub,Ahmedabad,5665,3.9
Cafe Oasis,Ahmedabad,5691,3.6
Palace Spice,Ahmedabad,4306,3.9
Bistro Hub,Ahmedabad,2859,4.9
Resort Spice,Ahmedabad,2545,3.5
Inn Delight,Ahmedabad,5679,4.3
Hotel Heaven,Ahmedabad,1878,4.4
Cafe Hub,Jaipur,994,3.2
Plaza Spice,Jaipur,5019,4.0
Garden Retreat,Jaipur,2933,4.2
Lounge Spice,Jaipur,2126,3.8
Bistro Heaven,Jaipur,1967,4.2
Lounge Terrace,Jaipur,1511,4.2
Bistro Terrace,Jaipur,5100,3.7
Inn Corner,Lucknow,1241,3.2
Inn Corner,Lucknow,6757,2.6
Lounge Retreat,Lucknow,1645,4.2
Cafe Terrace,Lucknow,6228,4.6
Resort Grill,Lucknow,3843,4.0
The Retreat,Lucknow,3104,4.2
Hotel Spice,Delhi,6048,4.0
Resort Corner,Delhi,1610,2.8
The Spice,Delhi,4723,2.8
Resort Corner,Delhi,3985,3.7
Palace Paradise,Delhi,3621,3.0
Hotel Oasis,Delhi,2516,3.8
Hotel Heaven,Delhi,5539,4.1
Garden Spice,Delhi,3930,4.5
Plaza Retreat,Delhi,1982,3.1
Bistro Paradise,Delhi,4884,3.4
Hotel Heaven,Mumbai,2618,2.8
Bistro Corner,Mumbai,3832,2.8
Royal Heaven,Mumbai,2960,3.4
Palace Spice,Mumbai,4353,3.9
Garden Corner,Mumbai,6662,3.1
Plaza Paradise,Mumbai,5086,3.2
Royal Oasis,Mumbai,953,3.0
Plaza Paradise,Mumbai,6361,2.8
Lounge Grill,Mumbai,3298,4.9
Bistro Grill,Mumbai,5469,4.1
Inn Paradise,Chennai,6336,3.7
The Hub,Chennai,4426,2.8
Palace Delight,Chennai,6749,3.2
Bistro Hub,Chennai,3171,3.7
The Delight,Chennai,4579,3.7
Plaza Oasis,Chennai,6605,4.6
Palace Corner,Chennai,3520,3.4
Cafe Hub,Kolkata,4117,3.5
Palace Paradise,Kolkata,2743,3.3
Bistro Hub,Kolkata,3856,4.2
Plaza Oasis,Kolkata,3760,5.0
Garden Terrace,Kolkata,4528,4.3
Resort Heaven,Kolkata,4495,4.0
Palace Hub,Kolkata,5223,5.0
Resort Corner,Bengaluru,6721,4.6
Palace Retreat,Bengaluru,1898,4.3
The Heaven,Bengaluru,3018,3.5
Palace Oasis,Bengaluru,4727,4.8
Royal Grill,Bengaluru,6245,2.8
The Spice,Bengaluru,6609,2.9
Plaza Heaven,Bengaluru,5920,4.1
Hotel Heaven,Bengaluru,3623,3.5
Lounge Retreat,Hyderabad,3104,4.6
Inn Paradise,Hyderabad,5320,2.8
Hotel Heaven,Hyderabad,1154,3.9
Cafe Hub,Hyderabad,4577,2.9
Plaza Terrace,Hyderabad,2967,3.1
Royal Retreat,Hyderabad,3361,3.3
The Spice,Hyderabad,1208,4.5
Garden Heaven,Hyderabad,3554,4.5
Inn Heaven,Hyderabad,4538,5.0
Inn Spice,Hyderabad,6101,2.6
Hotel Grill,Pune,1476,3.9
The Delight,Pune,1900,3.0
The Paradise,Pune,3808,5.0
Garden Corner,Pune,2717,3.4
Cafe Retreat,Pune,6280,4.2
Cafe Corner,Pune,6025,3.1
Lounge Heaven,Pune,3464,4.2
Resort Grill,Pune,2504,3.7
Palace Corner,Pune,1166,2.8
Lounge Oasis,Pune,2248,4.2
The Spice,Ahmedabad,1240,4.9
Inn Corner,Ahmedabad,1784,4.1
Bistro Delight,Ahmedabad,4002,2.8
Garden Spice,Ahmedabad,2767,4.1
Hotel Paradise,Ahmedabad,5214,3.5
Palace Heaven,Ahmedabad,4021,3.9
Hotel Hub,Ahmedabad,5724,4.9
Plaza Corner,Ahmedabad,5929,3.8
Plaza Retreat,Jaipur,3367,4.1
Bistro Grill,Jaipur,4605,4.0
Cafe Spice,Jaipur,2508,4.7
Garden Spice,Jaipur,5976,4.5
Palace Terrace,Jaipur,4200,3.1
Garden Corner,Jaipur,6011,3.2
Palace Grill,Jaipur,2490,4.4
Lounge Oasis,Lucknow,3301,3.6
Garden Terrace,Lucknow,6452,4.8
Plaza Paradise,Lucknow,5989,2.6
Plaza Spice,Lucknow,6419,3.6
Lounge Delight,Lucknow,1217,4.7
Palace Oasis,Lucknow,1359,3.2
Garden Heaven,Delhi,2805,4.2
Inn Oasis,Delhi,5405,3.7
Resort Hub,Delhi,6491,4.0
Hotel Retreat,Delhi,3194,4.3
Inn Oasis,Delhi,2633,2.9
Resort Grill,Delhi,4415,4.0
Inn Retreat,Delhi,3657,3.4
Plaza Paradise,Delhi,1344,3.3
The Heaven,Delhi,1209,3.1
Garden Corner,Delhi,6533,2.5
Royal Hub,Mumbai,5041,2.9
Plaza Grill,Mumbai,6685,4.1
Plaza Grill,Mumbai,1486,4.0
The Grill,Mumbai,6014,3.3
Garden Terrace,Mumbai,1397,4.6
Garden Heaven,Mumbai,6647,3.5
Bistro Heaven,Mumbai,6986,2.9
Resort Hub,Mumbai,4301,3.1
Cafe Terrace,Mumbai,3913,3.5
Palace Heaven,Mumbai,6714,3.3
Garden Spice,Chennai,5518,4.4
Cafe Corner,Chennai,4722,4.0
Garden Corner,Chennai,5244,2.6
Garden Retreat,Chennai,6263,4.8
Cafe Hub,Chennai,1028,3.8
Plaza Hub,Chennai,1113,3.1
Resort Hub,Chennai,1673,4.9
Inn Terrace,Kolkata,6150,4.3
Cafe Grill,Kolkata,6875,3.6
The Oasis,Kolkata,4168,3.6
Inn Heaven,Kolkata,3722,2.8
Bistro Terrace,Kolkata,6588,4.1
Palace Corner,Kolkata,6220,4.4
Royal Spice,Kolkata,3348,3.0
Hotel Heaven,Bengaluru,4171,5.0
Palace Heaven,Bengaluru,4437,2.9
Garden Hub,Bengaluru,5976,3.8
Palace Corner,Bengaluru,3099,2.9
Cafe Oasis,Bengaluru,2655,3.2
The Delight,Bengaluru,6592,3.1
Inn Terrace,Bengaluru,1004,4.4
Bistro Delight,Bengaluru,6536,3.9
Royal Terrace,Hyderabad,3383,2.9
Inn Corner,Hyderabad,4507,2.9
Inn Oasis,Hyderabad,6688,3.2
Lounge Corner,Hyderabad,5942,4.0
Palace Heaven,Hyderabad,3473,3.6
Plaza Delight,Hyderabad,6051,2.6
Lounge Delight,Hyderabad,1755,3.0
Bistro Retreat,Hyderabad,5218,3.0
Royal Terrace,Hyderabad,3526,4.1
Plaza Retreat,Hyderabad,6322,4.2
Cafe Paradise,Pune,1596,3.5
Plaza Hub,Pune,3524,4.7
Royal Hub,Pune,5362,4.3
Resort Spice,Pune,995,3.1
Resort Grill,Pune,3574,3.6
Cafe Retreat,Pune,4995,2.7
Hotel Hub,Pune,5532,4.9
Cafe Retreat,Pune,1709,3.9
Garden Oasis,Pune,3875,4.9
Lounge Delight,Pune,5600,4.0
Garden Heaven,Ahmedabad,5166,4.5
Inn Corner,Ahmedabad,3940,4.6
Plaza Heaven,Ahmedabad,1325,4.5
Royal Delight,Ahmedabad,4362,4.6
Palace Terrace,Ahmedabad,2199,3.1
Resort Paradise,Ahmedabad,4978,4.3
Cafe Grill,Ahmedabad,2745,3.9
Royal Grill,Ahmedabad,5171,3.4
Garden Paradise,Jaipur,3011,4.0
Palace Heaven,Jaipur,5937,2.7
Garden Retreat,Jaipur,3157,2.5
Plaza Delight,Jaipur,1264,4.7
Bistro Spice,Jaipur,2868,4.1
Garden Spice,Jaipur,4819,4.0
Inn Delight,Jaipur,2477,3.3
Garden Grill,Lucknow,3143,4.0
Hotel Corner,Lucknow,2081,3.2
Lounge Grill,Lucknow,3912,4.4
Resort Retreat,Lucknow,4260,2.9
Bistro Paradise,Lucknow,1808,4.9
Garden Heaven,Lucknow,2622,4.3
Garden Spice,Delhi,911,4.5
Royal Paradise,Delhi,6926,3.1
The Paradise,Delhi,4654,3.1
Royal Corner,Delhi,912,3.5
Royal Heaven,Delhi,3748,3.8
Resort Paradise,Delhi,1777,2.9
Hotel Corner,Delhi,6011,4.1
Hotel Hub,Delhi,2270,2.8
Palace Corner,Delhi,4646,3.0
Hotel Paradise,Delhi,4168,3.1
Resort Paradise,Mumbai,5255,4.4
Garden Heaven,Mumbai,5643,2.6
Palace Grill,Mumbai,5779,3.4
Garden Grill,Mumbai,2192,4.4
