Name of the hotel,City,Budget for 1 day and night,Rating of the hotel
Resort Retreat,Lucknow,1273,4.7
Palace Inn,Lucknow,13321,4.0
Resort Palace,Lucknow,9876,4.1
Royal Gardens,Lucknow,8479,2.9
Regency Lounge,Delhi,2870,4.8
Royal Suites,Delhi,2435,4.0
Grand Retreat,Delhi,9971,2.6
Grand Palace,Delhi,8829,2.8
Regency Lounge,Delhi,14397,4.4
Regency Residency,Delhi,11156,3.6
Inn Gardens,Delhi,3631,4.5
Suites Oasis,Mumbai,5048,4.1
Hotel Palace,Mumbai,5456,3.0
Royal Inn,Mumbai,1661,5.0
Resort Residency,Mumbai,14822,4.6
Grand Residency,Mumbai,8400,4.2
Plaza Lounge,Mumbai,14351,4.4
Resort Vista,Chennai,13380,5.0
Hotel Palace,Chennai,2007,2.6
Heights Residency,Chennai,14180,3.9
Grand Suites,Chennai,11746,4.8
Inn Residency,Chennai,7237,3.5
Resort Inn,Chennai,8848,2.6
Heights Oasis,Chennai,3554,4.3
Plaza Residency,Kolkata,14388,4.4
Royal Oasis,Kolkata,9872,2.9
Heights Gardens,Kolkata,7165,3.9
Inn Oasis,Kolkata,1033,4.5
Heights Lounge,Kolkata,1729,3.3
Grand Lounge,Kolkata,10034,3.3
Hotel Vista,Bengaluru,1428,4.0
Suites Retreat,Bengaluru,1489,3.5
Royal Suites,Bengaluru,9349,4.6
Plaza Heights,Bengaluru,2229,2.6
Grand Inn,Bengaluru,9802,3.7
Suites Vista,Bengaluru,13445,4.0
Inn Lounge,Bengaluru,7262,4.7
Royal Inn,Bengaluru,11520,2.9
Palace Inn,Bengaluru,11763,2.9
Regency Oasis,Hyderabad,10092,4.3
Bay Suites,Hyderabad,14723,4.8
Plaza Residency,Hyderabad,12901,3.8
Regency Lounge,Hyderabad,4818,4.9
Hotel Heights,Hyderabad,5226,2.5
Bay Gardens,Hyderabad,4522,3.5
Plaza Oasis,Hyderabad,14199,2.7
Heights Oasis,Hyderabad,7749,4.6
Bay Heights,Hyderabad,1066,3.8
Plaza Residency,Pune,5603,4.2
Bay Lounge,Pune,10142,4.8
Palace Palace,Pune,5207,4.7
Grand Inn,Pune,2031,3.8
Resort Palace,Pune,1650,4.1
Heights Palace,Pune,5612,3.0
Regency Vista,Pune,3882,4.6
Plaza Inn,Pune,13403,4.2
Suites Inn,Pune,10933,3.0
Resort Gardens,Ahmedabad,11738,2.7
Royal Heights,Ahmedabad,5798,3.3
Bay Palace,Ahmedabad,10865,3.3
Hotel Retreat,Ahmedabad,11236,4.1
Inn Heights,Ahmedabad,14198,3.5
Regency Oasis,Ahmedabad,7240,5.0
Bay Vista,Ahmedabad,6139,4.9
Royal Suites,Ahmedabad,5850,2.7
Bay Lounge,Ahmedabad,9395,2.8
Inn Lounge,Ahmedabad,12758,4.3
Hotel Vista,Jaipur,14686,4.0
Regency Retreat,Jaipur,12799,4.6
Plaza Lounge,Jaipur,8823,3.3
Plaza Vista,Jaipur,5680,4.3
Grand Suites,Jaipur,1542,4.3
Bay Lounge,Jaipur,8604,2.7
Regency Palace,Jaipur,13308,4.6
Hotel Heights,Jaipur,2991,5.0
Hotel Palace,Lucknow,12823,2.7
Suites Heights,Lucknow,7542,5.0
Royal Gardens,Lucknow,9246,4.8
Plaza Inn,Lucknow,8991,2.8
Royal Heights,Lucknow,10757,3.1
Palace Inn,Lucknow,8400,2.7
Plaza Residency,Delhi,13124,4.0
Heights Oasis,Delhi,1695,3.3
Royal Lounge,Delhi,10302,4.1
Royal Retreat,Delhi,4703,4.1
Grand Heights,Delhi,4265,2.5
Palace Suites,Delhi,6072,4.1
Grand Residency,Delhi,10447,3.4
Regency Gardens,Mumbai,8085,2.8
Heights Palace,Mumbai,5551,3.3
Regency Heights,Mumbai,12572,4.2
Hotel Palace,Mumbai,9866,4.3
Palace Residency,Mumbai,5102,4.6
Royal Residency,Mumbai,6979,3.3
Suites Retreat,Chennai,13633,3.5
Palace Retreat,Chennai,7971,3.6
Royal Residency,Chennai,13832,3.3
Grand Palace,Chennai,7453,4.6
Royal Heights,Chennai,9305,4.4
Regency Inn,Chennai,6627,3.3
Regency Suites,Chennai,11565,3.8
Regency Retreat,Kolkata,11597,4.1
Inn Lounge,Kolkata,1398,2.6
Hotel Residency,Kolkata,4194,3.0
Royal Inn,Kolkata,5440,4.5
Grand Vista,Kolkata,5902,3.1
Royal Palace,Kolkata,9923,4.3
Plaza Suites,Bengaluru,7430,4.0
Grand Palace,Bengaluru,4557,3.0
Inn Oasis,Bengaluru,4211,5.0
Resort Oasis,Bengaluru,9120,4.8
Royal Lounge,Bengaluru,2735,4.3
Royal Vista,Bengaluru,9093,4.2
Palace Residency,Bengaluru,4954,3.6
Palace Retreat,Bengaluru,10668,2.6
Heights Residency,Bengaluru,3254,3.6
Resort Lounge,Hyderabad,13361,3.4
Bay Residency,Hyderabad,13452,3.6
Palace Oasis,Hyderabad,5102,2.8
Plaza Heights,Hyderabad,9018,3.5
Palace Retreat,Hyderabad,8009,4.8
Bay Inn,Hyderabad,3596,3.1
Plaza Lounge,Hyderabad,2219,3.3
Plaza Residency,Hyderabad,8107,4.7
Palace Palace,Hyderabad,6742,2.7
Hotel Vista,Pune,4428,3.7
Palace Inn,Pune,13768,4.3
Bay Retreat,Pune,1885,2.7
Palace Suites,Pune,4397,3.2
Hotel Retreat,Pune,9309,3.8
Heights Retreat,Pune,6162,4.1
Inn Oasis,Pune,8130,3.9
Heights Gardens,Pune,10024,2.6
Bay Suites,Pune,13052,4.1
Plaza Inn,Ahmedabad,3101,2.7
Palace Lounge,Ahmedabad,2461,2.6
Royal Lounge,Ahmedabad,3488,2.8
Grand Palace,Ahmedabad,5009,3.2
Bay Lounge,Ahmedabad,4336,4.9
Royal Oasis,Ahmedabad,5936,3.2
Hotel Vista,Ahmedabad,6370,2.9
Resort Lounge,Ahmedabad,3478,3.0
Inn Suites,Ahmedabad,9876,3.4
Resort Lounge,Ahmedabad,4246,4.8
Inn Vista,Jaipur,9062,3.8
Plaza Residency,Jaipur,4440,4.9
Palace Retreat,Jaipur,9588,2.6
Heights Suites,Jaipur,8554,3.4
Heights Oasis,Jaipur,6951,3.2
Regency Vista,Jaipur,4300,2.5
Bay Suites,Jaipur,985,4.9
Resort Heights,Jaipur,868,4.6
Grand Oasis,Lucknow,4528,4.1
Royal Lounge,Lucknow,9103,3.5
Inn Heights,Lucknow,10362,4.7
Resort Inn,Lucknow,10044,3.2
Heights Residency,Lucknow,7306,2.8
Royal Heights,Lucknow,7388,2.6
Regency Palace,Delhi,9389,4.3
Bay Suites,Delhi,6478,3.3
Bay Lounge,Delhi,11161,2.5
Royal Vista,Delhi,4802,3.3
Suites Heights,Delhi,13513,3.8
Grand Vista,Delhi,6948,3.0
Regency Palace,Delhi,7296,2.5
Resort Gardens,Mumbai,1028,4.2
Grand Suites,Mumbai,4231,2.7
Plaza Residency,Mumbai,14982,4.8
Resort Suites,Mumbai,6107,4.0
Hotel Retreat,Mumbai,7556,4.4
Palace Oasis,Mumbai,12024,2.7
Suites Residency,Chennai,11209,4.9
Bay Suites,Chennai,1706,3.3
Grand Lounge,Chennai,9586,3.0
Heights Suites,Chennai,3544,2.9
Hotel Retreat,Chennai,13728,3.9
Royal Oasis,Chennai,3388,3.2
Heights Vista,Chennai,11570,4.4
Regency Inn,Kolkata,9509,4.2
Royal Palace,Kolkata,10269,4.1
Royal Inn,Kolkata,11193,3.4
Bay Palace,Kolkata,8419,3.7
Bay Suites,Kolkata,14420,4.1
Plaza Heights,Kolkata,4765,3.3
Palace Retreat,Bengaluru,4972,2.8
Royal Gardens,Bengaluru,8353,3.5
Suites Retreat,Bengaluru,3039,3.6
Resort Oasis,Bengaluru,12270,3.2
Inn Inn,Bengaluru,13548,3.9
Heights Lounge,Bengaluru,8053,4.4
Regency Oasis,Bengaluru,8583,5.0
Palace Palace,Bengaluru,8776,3.6
Resort Heights,Bengaluru,10843,3.2
Resort Retreat,Hyderabad,3428,4.6
Heights Inn,Hyderabad,11235,3.9
Palace Residency,Hyderabad,9271,3.8
Heights Heights,Hyderabad,3112,4.4
Regency Heights,Hyderabad,8035,4.2
Suites Heights,Hyderabad,3518,3.0
Plaza Retreat,Hyderabad,3499,3.8
Resort Residency,Hyderabad,7440,4.5
Grand Lounge,Hyderabad,6421,2.5
Heights Residency,Pune,8157,2.9
Palace Palace,Pune,3330,4.5
Suites Palace,Pune,12190,3.3
Inn Retreat,Pune,13924,3.2
Grand Heights,Pune,1872,3.8
Inn Palace,Pune,12919,3.9
Regency Residency,Pune,12415,2.6
Suites Lounge,Pune,5601,2.7
Suites Residency,Pune,6195,3.6
Regency Lounge,Ahmedabad,9307,4.3
Regency Palace,Ahmedabad,4762,2.9
Palace Oasis,Ahmedabad,2605,2.5
Heights Inn,Ahmedabad,7437,3.6
Grand Retreat,Ahmedabad,5807,4.3
Palace Inn,Ahmedabad,1365,3.9
Plaza Oasis,Ahmedabad,14046,2.8
Royal Palace,Ahmedabad,13537,2.6
Royal Oasis,Ahmedabad,8867,4.5
Heights Retreat,Ahmedabad,12227,3.3
Hotel Inn,Jaipur,11641,3.0
Palace Gardens,Jaipur,8381,2.9
Inn Residency,Jaipur,4339,2.6
Heights Lounge,Jaipur,14530,4.1
Bay Oasis,Jaipur,3233,3.8
Resort Lounge,Jaipur,7034,3.5
Royal Inn,Jaipur,11062,2.5
Suites Retreat,Jaipur,1765,4.5
Bay Palace,Lucknow,6186,2.7
Resort Heights,Lucknow,1861,4.6
Resort Heights,Lucknow,13596,2.9
Royal Gardens,Lucknow,13864,4.5
Regency Heights,Lucknow,945,4.6
Suites Residency,Lucknow,5112,4.5
Resort Oasis,Delhi,7646,3.0
Hotel Oasis,Delhi,9893,3.3
Hotel Gardens,Delhi,4252,3.1
Heights Retreat,Delhi,8320,3.8
Hotel Heights,Delhi,6313,3.5
Plaza Suites,Delhi,10710,4.6
Palace Lounge,Delhi,6363,4.8
Regency Heights,Mumbai,11928,4.5
Plaza Residency,Mumbai,5491,3.8
Plaza Inn,Mumbai,7632,2.8
Heights Vista,Mumbai,3332,4.7
Bay Vista,Mumbai,8284,4.8
Plaza Retreat,Mumbai,14847,5.0
Resort Oasis,Chennai,5421,4.8
Grand Vista,Chennai,12912,4.1
Resort Residency,Chennai,8193,3.6
Resort Oasis,Chennai,4787,2.8
Regency Gardens,Chennai,12064,4.5
Inn Gardens,Chennai,12234,4.2
Bay Retreat,Chennai,10799,3.5
Suites Heights,Kolkata,1919,4.2
Plaza Retreat,Kolkata,8770,2.6
Heights Lounge,Kolkata,12672,3.3
Royal Inn,Kolkata,1691,5.0
Plaza Gardens,Kolkata,8068,3.7
Heights Heights,Kolkata,1189,4.2
Bay Vista,Bengaluru,7085,3.9
Hotel Heights,Bengaluru,1876,2.9
Hotel Retreat,Bengaluru,8332,4.7
Plaza Heights,Bengaluru,3859,4.7
Suites Lounge,Bengaluru,12941,3.6
Regency Vista,Bengaluru,13516,4.2
Plaza Heights,Bengaluru,12167,3.9
Suites Vista,Bengaluru,3959,3.4
Resort Retreat,Bengaluru,7797,4.8
Hotel Vista,Hyderabad,5062,4.1
Bay Oasis,Hyderabad,7760,4.5
Heights Inn,Hyderabad,7379,3.0
Bay Inn,Hyderabad,5409,4.4
Grand Suites,Hyderabad,12790,3.3
Suites Lounge,Hyderabad,4330,2.8
Grand Oasis,Hyderabad,13922,2.7
Regency Lounge,Hyderabad,7642,2.9
Heights Oasis,Hyderabad,4222,4.6
Suites Lounge,Pune,10061,3.0
Grand Gardens,Pune,2415,3.3
Grand Retreat,Pune,13251,4.1
Royal Retreat,Pune,3711,2.8
Resort Vista,Pune,8573,4.0
Palace Gardens,Pune,4305,4.5
Suites Heights,Pune,2681,3.7
Plaza Heights,Pune,3430,2.8
Hotel Oasis,Pune,15000,4.2
Palace Suites,Ahmedabad,13610,4.0
Grand Heights,Ahmedabad,8611,3.0
Regency Suites,Ahmedabad,9180,4.5
Bay Inn,Ahmedabad,9943,2.7
Suites Oasis,Ahmedabad,14260,3.4
Palace Retreat,Ahmedabad,5142,4.4
Heights Vista,Ahmedabad,10354,4.5
Heights Heights,Ahmedabad,3010,4.7
Inn Inn,Ahmedabad,13233,3.4
Inn Heights,Ahmedabad,10853,2.6
Palace Lounge,Jaipur,4331,2.8
Royal Gardens,Jaipur,891,2.7
Palace Retreat,Jaipur,8905,3.7
Heights Heights,Jaipur,3979,4.8
Resort Residency,Jaipur,12194,4.6
Suites Heights,Jaipur,11093,4.3
Suites Retreat,Jaipur,7856,4.7
Heights Residency,Jaipur,10126,3.9
Hotel Retreat,Lucknow,2859,3.1
Heights Palace,Lucknow,9580,3.7
Regency Vista,Lucknow,2641,4.9
Plaza Inn,Lucknow,12809,4.2
Heights Suites,Lucknow,2711,3.2
Resort Retreat,Lucknow,11709,4.1
Inn Palace,Delhi,9935,3.7
Hotel Suites,Delhi,13090,3.8
Resort Inn,Delhi,12726,3.5
Plaza Gardens,Delhi,10798,3.5
Inn Vista,Delhi,6982,4.3
Resort Vista,Delhi,11012,3.2
Resort Inn,Delhi,7444,2.9
Suites Retreat,Mumbai,3377,2.7
Plaza Suites,Mumbai,12318,2.6
Bay Lounge,Mumbai,8439,3.1
Inn Residency,Mumbai,2351,3.3
Regency Suites,Mumbai,5236,4.1
Plaza Gardens,Mumbai,5951,4.3
Hotel Vista,Chennai,2128,4.7
Suites Lounge,Chennai,9814,3.8
Royal Vista,Chennai,14501,3.9
Bay Heights,Chennai,6557,3.5
Hotel Palace,Chennai,13084,4.0
Bay Lounge,Chennai,4298,3.9
Suites Retreat,Chennai,4222,4.4
Heights Heights,Kolkata,1867,4.2
Resort Gardens,Kolkata,1569,2.6
Hotel Inn,Kolkata,12408,3.2
Bay Retreat,Kolkata,4426,3.9
Heights Heights,Kolkata,1643,3.4
Regency Residency,Kolkata,7300,4.6
Suites Retreat,Bengaluru,2549,4.9
Hotel Heights,Bengaluru,3435,4.0
Heights Palace,Bengaluru,847,4.4
Inn Suites,Bengaluru,5722,4.8
Hotel Inn,Bengaluru,5035,4.7
Suites Residency,Bengaluru,7247,2.9
Heights Oasis,Bengaluru,2295,2.9
Plaza Heights,Bengaluru,10552,3.4
Grand Oasis,Bengaluru,8354,2.8
Regency Palace,Hyderabad,849,3.3
Grand Suites,Hyderabad,975,4.8
Suites Palace,Hyderabad,5688,4.3
Grand Palace,Hyderabad,9465,2.8
Palace Gardens,Hyderabad,9091,4.8
Bay Palace,Hyderabad,4304,4.8
Palace Palace,Hyderabad,7875,4.2
Plaza Vista,Hyderabad,4661,5.0
Bay Inn,Hyderabad,13325,4.5
Bay Lounge,Pune,8236,2.8
Resort Suites,Pune,14464,4.9
Palace Vista,Pune,5739,3.7
Royal Residency,Pune,8243,2.9
Royal Oasis,Pune,13915,4.1
Plaza Residency,Pune,2639,4.5
Plaza Residency,Pune,5534,4.5
Heights Suites,Pune,10489,4.9
Resort Gardens,Pune,13441,4.0
Inn Inn,Ahmedabad,4478,3.2
Royal Inn,Ahmedabad,9441,4.5
Royal Gardens,Ahmedabad,10177,2.6
Heights Suites,Ahmedabad,14461,3.9
Resort Vista,Ahmedabad,7795,4.0
Plaza Palace,Ahmedabad,14310,2.8
Inn Suites,Ahmedabad,8157,4.3
Regency Vista,Ahmedabad,7019,2.8
Hotel Retreat,Ahmedabad,9719,3.3
Plaza Vista,Ahmedabad,4819,3.3
Regency Oasis,Jaipur,5603,4.7
Regency Oasis,Jaipur,13131,2.9
Bay Vista,Jaipur,12227,3.6
Hotel Heights,Jaipur,11041,4.6
Heights Suites,Jaipur,10091,3.9
Hotel Suites,Jaipur,4853,4.1
Heights Gardens,Jaipur,8503,3.6
Royal Vista,Jaipur,2709,4.6
Suites Palace,Lucknow,10021,4.7
Bay Lounge,Lucknow,14579,3.4
Palace Residency,Lucknow,5983,3.1
Hotel Residency,Lucknow,5428,4.6
Resort Gardens,Lucknow,13995,2.6
Palace Oasis,Lucknow,8809,4.1
Regency Oasis,Delhi,5028,3.2
Hotel Lounge,Delhi,12750,4.1
Regency Heights,Delhi,5646,4.9
Grand Palace,Delhi,9834,2.8
Regency Residency,Delhi,10318,3.0
Hotel Oasis,Delhi,12260,3.1
Palace Heights,Delhi,3550,4.3
Plaza Inn,Mumbai,3681,3.4
Suites Residency,Mumbai,1998,2.6
Regency Heights,Mumbai,10893,3.2
Hotel Vista,Mumbai,10807,4.4
Resort Heights,Mumbai,1073,3.5
Palace Residency,Mumbai,9639,4.4
Heights Heights,Chennai,2259,3.8
Plaza Vista,Chennai,2188,2.8
Royal Oasis,Chennai,5899,4.9
Inn Vista,Chennai,3965,2.6
Inn Residency,Chennai,13423,3.8
Inn Inn,Chennai,8096,4.3
Plaza Retreat,Chennai,13606,2.7
Resort Oasis,Kolkata,14021,4.8
Hotel Palace,Kolkata,8581,2.7
Bay Vista,Kolkata,9567,3.2
Grand Palace,Kolkata,10301,4.7
Grand Inn,Kolkata,3095,3.1
Palace Heights,Kolkata,10145,4.8
Resort Suites,Bengaluru,5830,4.1
Inn Gardens,Bengaluru,2783,3.1
Suites Vista,Bengaluru,12286,2.6
Grand Oasis,Bengaluru,10696,4.4
Inn Suites,Bengaluru,5506,4.9
Grand Gardens,Bengaluru,6884,3.4
Palace Oasis,Bengaluru,9173,3.1
Regency Gardens,Bengaluru,12780,3.9
Bay Lounge,Bengaluru,13370,3.8
Royal Heights,Hyderabad,3420,2.6
Heights Lounge,Hyderabad,13923,2.8
Plaza Gardens,Hyderabad,7523,4.9
Plaza Retreat,Hyderabad,9003,5.0
Plaza Oasis,Hyderabad,2115,3.6
Regency Oasis,Hyderabad,6546,2.6
Resort Suites,Hyderabad,11553,3.2
Palace Gardens,Hyderabad,1162,4.1
Grand Suites,Hyderabad,12661,4.0
Grand Oasis,Pune,1455,2.6
Plaza Retreat,Pune,14885,3.8
Grand Palace,Pune,14047,3.7
Heights Suites,Pune,820,4.3
Bay Inn,Pune,8857,4.7
Plaza Gardens,Pune,10791,4.8
Resort Palace,Pune,13109,4.4
Palace Inn,Pune,14569,3.9
Royal Palace,Pune,12669,3.5
Royal Inn,Ahmedabad,1578,3.6
Grand Suites,Ahmedabad,13210,4.2
Heights Lounge,Ahmedabad,5940,2.9
Royal Vista,Ahmedabad,4858,2.7
Bay Heights,Ahmedabad,8025,3.5
Suites Suites,Ahmedabad,1692,3.1
Regency Inn,Ahmedabad,9480,3.1
Bay Vista,Ahmedabad,1712,2.9
Regency Residency,Ahmedabad,2201,4.4
Royal Gardens,Ahmedabad,10435,3.4
Regency Vista,Jaipur,13521,3.2
Heights Heights,Jaipur,14495,3.3
Grand Retreat,Jaipur,13765,3.2
Plaza Residency,Jaipur,14173,3.7
Plaza Retreat,Jaipur,14726,4.4
Palace Lounge,Jaipur,7856,5.0
Suites Heights,Jaipur,14017,4.0
Resort Suites,Jaipur,12012,2.7
Resort Oasis,Lucknow,13162,4.3
Plaza Palace,Lucknow,2569,2.9
Palace Residency,Lucknow,9626,4.5
Royal Retreat,Lucknow,11671,4.8
Inn Gardens,Lucknow,12293,4.2
Palace Oasis,Lucknow,13532,2.9
Plaza Lounge,Delhi,4715,4.9
Regency Vista,Delhi,4619,3.9
Grand Oasis,Delhi,6111,4.4
Bay Heights,Delhi,11164,3.6
Plaza Oasis,Delhi,7058,3.9
Inn Palace,Delhi,8521,4.2
Bay Vista,Delhi,12187,4.8
Suites Residency,Mumbai,1077,3.9
Inn Gardens,Mumbai,6970,3.3
Suites Residency,Mumbai,5719,2.7
Heights Suites,Mumbai,13796,4.1
Heights Heights,Mumbai,1083,4.6
Regency Residency,Mumbai,13585,3.3
Bay Retreat,Chennai,8520,2.6
Plaza Residency,Chennai,13217,4.7
Grand Inn,Chennai,14390,2.6
Heights Suites,Chennai,6478,2.9
Grand Palace,Chennai,4140,4.6
Regency Lounge,Chennai,1135,2.5
Resort Vista,Chennai,5083,3.0
Plaza Palace,Kolkata,4626,3.8
Suites Oasis,Kolkata,8233,3.8
Hotel Heights,Kolkata,9593,3.7
Grand Inn,Kolkata,9954,4.6
Royal Oasis,Kolkata,2212,3.9
Inn Suites,Kolkata,5836,2.5
Resort Oasis,Bengaluru,14505,4.0
Resort Retreat,Bengaluru,11152,2.8
Palace Retreat,Bengaluru,8700,4.4
Bay Gardens,Bengaluru,5577,3.2
Regency Suites,Bengaluru,4754,3.7
Royal Gardens,Bengaluru,6528,2.7
Royal Oasis,Bengaluru,14042,4.6
Suites Palace,Bengaluru,12383,2.9
Suites Suites,Bengaluru,5610,2.5
Inn Retreat,Hyderabad,3088,4.4
Grand Retreat,Hyderabad,923,3.2
Royal Lounge,Hyderabad,9193,3.8
Plaza Suites,Hyderabad,12586,2.6
Suites Heights,Hyderabad,3252,2.7
Plaza Gardens,Hyderabad,13731,2.6
Plaza Gardens,Hyderabad,5848,3.7
Royal Oasis,Hyderabad,1737,3.5
Regency Inn,Hyderabad,13523,4.0
Inn Lounge,Pune,7050,4.6
Hotel Gardens,Pune,2493,3.6
Heights Heights,Pune,7134,2.6
Palace Lounge,Pune,929,3.6
Inn Heights,Pune,5638,3.6
Grand Oasis,Pune,1970,2.7
Royal Retreat,Pune,11280,2.7
Plaza Gardens,Pune,8200,2.7
Hotel Residency,Pune,3352,3.6
Plaza Lounge,Ahmedabad,2174,2.9
Hotel Palace,Ahmedabad,13635,3.4
Hotel Vista,Ahmedabad,12806,4.0
Inn Gardens,Ahmedabad,800,2.6
Suites Inn,Ahmedabad,4319,2.8
Palace Palace,Ahmedabad,14889,2.6
Suites Residency,Ahmedabad,9173,4.2
Hotel Palace,Ahmedabad,2966,4.7
Heights Residency,Ahmedabad,4367,3.4
Hotel Oasis,Ahmedabad,11453,3.7
Royal Vista,Jaipur,14163,2.9
Regency Heights,Jaipur,14150,3.0
Inn Retreat,Jaipur,8778,2.6
Bay Suites,Jaipur,1823,4.8
Royal Lounge,Jaipur,6496,3.0
Heights Gardens,Jaipur,2333,3.9
Inn Suites,Jaipur,9466,3.9
Palace Palace,Jaipur,4114,3.8
Grand Inn,Lucknow,4341,3.2
Royal Palace,Lucknow,5114,4.9
Bay Lounge,Lucknow,10320,4.7
Grand Heights,Lucknow,2154,4.7
Royal Lounge,Lucknow,5596,4.6
Hotel Retreat,Lucknow,5190,3.3
Plaza Retreat,Delhi,11018,2.5
Hotel Suites,Delhi,7644,2.6
Inn Oasis,Delhi,3350,3.8
Inn Suites,Delhi,3098,3.5
Bay Gardens,Delhi,13498,4.8
Resort Retreat,Delhi,9850,2.7
Bay Lounge,Delhi,4484,2.9
Suites Lounge,Mumbai,4401,3.8
Suites Residency,Mumbai,9844,4.1
Regency Heights,Mumbai,8348,4.8
Hotel Gardens,Mumbai,8683,2.7
Hotel Lounge,Mumbai,3053,3.0
Regency Gardens,Mumbai,1196,4.2
Inn Vista,Chennai,1536,3.2
Resort Lounge,Chennai,9355,2.9
Palace Gardens,Chennai,3038,3.6
Suites Retreat,Chennai,1031,3.7
Regency Oasis,Chennai,2624,3.2
Plaza Vista,Chennai,8090,4.1
Palace Gardens,Chennai,4606,3.3
Suites Suites,Kolkata,1653,4.3
Grand Lounge,Kolkata,5260,3.8
Palace Heights,Kolkata,990,4.7
Plaza Heights,Kolkata,2761,3.9
Regency Heights,Kolkata,6637,3.9
Palace Suites,Kolkata,3881,4.2
Palace Oasis,Bengaluru,6932,3.0
Plaza Oasis,Bengaluru,1447,4.3
Grand Retreat,Bengaluru,2742,3.9
Heights Lounge,Bengaluru,3823,4.2
Resort Inn,Bengaluru,4250,2.7
Suites Gardens,Bengaluru,9064,3.0
Bay Palace,Bengaluru,13319,4.2
Hotel Lounge,Bengaluru,13170,3.3
Hotel Retreat,Bengaluru,6644,4.5
Plaza Suites,Hyderabad,1970,3.3
Palace Lounge,Hyderabad,12175,2.7
Regency Inn,Hyderabad,817,3.8
Heights Vista,Hyderabad,13288,2.7
Inn Heights,Hyderabad,2301,4.2
Resort Palace,Hyderabad,8363,2.7
Plaza Vista,Hyderabad,10455,3.8
Palace Inn,Hyderabad,13290,3.1
Inn Retreat,Hyderabad,12762,2.8
Heights Inn,Pune,7338,3.5
Royal Retreat,Pune,2303,3.7
Suites Gardens,Pune,2525,3.1
Plaza Suites,Pune,12443,4.5
Regency Inn,Pune,1066,3.5
Hotel Palace,Pune,13511,3.7
Palace Vista,Pune,11487,3.4
Inn Lounge,Pune,9606,3.4
Regency Retreat,Pune,9674,4.1
Regency Oasis,Ahmedabad,10543,4.5
Resort Oasis,Ahmedabad,14731,4.9
Royal Vista,Ahmedabad,9633,3.0
Plaza Inn,Ahmedabad,8565,4.1
Royal Vista,Ahmedabad,13059,3.0
Royal Vista,Ahmedabad,8649,3.1
Inn Inn,Ahmedabad,12754,4.9
Royal Suites,Ahmedabad,11519,3.2
Palace Residency,Ahmedabad,817,3.7
Palace Oasis,Ahmedabad,953,3.4
Royal Residency,Jaipur,2026,4.5
Grand Suites,Jaipur,9303,4.3
Grand Palace,Jaipur,4732,4.2
Palace Lounge,Jaipur,7063,3.8
Grand Retreat,Jaipur,10676,3.0
Resort Oasis,Jaipur,7465,3.2
Grand Inn,Jaipur,14020,2.7
Plaza Gardens,Jaipur,5896,3.8
Royal Vista,Lucknow,10769,4.4
Bay Gardens,Lucknow,13236,2.6
Regency Palace,Lucknow,7553,4.3
Suites Retreat,Lucknow,9994,4.9
Suites Gardens,Lucknow,12538,4.3
Resort Heights,Lucknow,10971,4.7
Heights Gardens,Delhi,1675,3.1
Palace Inn,Delhi,8275,3.6
Regency Lounge,Delhi,8915,3.5
Inn Lounge,Delhi,6843,3.4
Heights Retreat,Delhi,4513,2.6
Resort Gardens,Delhi,14753,4.9
Bay Suites,Delhi,11026,3.0
Palace Vista,Mumbai,5778,3.0
Bay Suites,Mumbai,9326,4.2
Palace Inn,Mumbai,4704,4.9
Heights Oasis,Mumbai,3776,2.5
Suites Gardens,Mumbai,3476,2.8
Resort Oasis,Mumbai,4453,2.9
Royal Suites,Chennai,5961,3.8
Regency Palace,Chennai,9156,3.3
Inn Lounge,Chennai,1555,4.3
Regency Retreat,Chennai,4257,4.8
Plaza Heights,Chennai,11155,2.6
Regency Residency,Chennai,11664,3.0
Regency Residency,Chennai,8015,4.5
Royal Oasis,Kolkata,4866,2.9
Hotel Lounge,Kolkata,6129,4.3
Resort Heights,Kolkata,14937,2.6
Grand Suites,Kolkata,10526,3.9
Bay Oasis,Kolkata,7255,3.6
Grand Gardens,Kolkata,12738,4.0
Inn Vista,Bengaluru,4768,3.9
Resort Inn,Bengaluru,11894,4.4
Royal Palace,Bengaluru,10840,4.4
Plaza Heights,Bengaluru,4462,3.1
Royal Lounge,Bengaluru,1431,4.0
Heights Vista,Bengaluru,9522,4.9
Palace Heights,Bengaluru,5708,4.8
Grand Suites,Bengaluru,10238,3.3
Grand Heights,Bengaluru,1506,4.1
Suites Palace,Hyderabad,2462,4.7
Hotel Lounge,Hyderabad,9219,3.2
Grand Inn,Hyderabad,4477,4.9
Bay Palace,Hyderabad,10895,4.4
Regency Residency,Hyderabad,3604,3.0
Royal Palace,Hyderabad,14296,4.4
Royal Heights,Hyderabad,10696,4.3
Regency Heights,Hyderabad,4673,4.4
Bay Vista,Hyderabad,9463,4.4
Hotel Palace,Pune,3010,4.2
Plaza Heights,Pune,3159,4.3
Heights Vista,Pune,9313,3.7
Grand Residency,Pune,9247,3.5
Plaza Inn,Pune,13041,4.1
Suites Gardens,Pune,13182,3.9
Bay Lounge,Pune,13046,4.1
Royal Residency,Pune,12324,3.5
Regency Residency,Pune,4767,4.7
Heights Heights,Ahmedabad,14652,3.0
Heights Vista,Ahmedabad,1376,4.4
Hotel Heights,Ahmedabad,6649,4.4
Grand Suites,Ahmedabad,14356,3.5
